Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
62	0.8181818	0.36363634	1.0	0.09090909	45.2	0.096551955	0.2009993	0.8110558	0.0079043135	31500	-0.29663703	0.0051687737	0.01792702	-0.0012753985	1.4831852	0.059880465	0.616	3.0	45.5601806640625
63	0.9	0.29999998	1.0	0.0	45.2	0.06268336	0.15727659	0.87351555	0.00764402	32000	-0.30071902	0.005030289	-0.0043469667	-0.0006252914	1.5035951	0.031400967	0.958	3.0	46.144046783447266
64	1.0	0.0	1.0	1.0	50.0	0.05300406	0.1841568	1.040695	0.011067882	32500	-0.3092972	0.0005741672	0.009973347	-0.00010045507	1.546486	0.037032306	0.552	1.0	46.66384148597717
65	0.9090909	0.27272725	1.0	0.09090909	45.2	0.05350788	0.20068744	1.112031	0.0038140565	33000	-0.3035985	0.0014237275	0.0019317865	-0.00014834036	1.5179925	0.025149785	0.956	3.0	47.25300860404968
66	0.8090909	0.38235894	1.0	0.0	45.2	0.13023351	0.29085657	1.0372936	-0.00081109256	33500	-0.27702412	0.006843576	0.0034529865	-0.0020300807	1.3851206	0.019217735	0.32	2.0	47.82405400276184
67	0.6503496	0.4422766	1.0	0.09090909	35.23077	0.079076886	0.16642477	0.86445475	-0.04785838	34000	-0.29641482	0.007855079	-0.005479574	-0.0006547808	1.482074	0.009781563	0.638	15.0	48.65142107009888
68	0.9	0.29999998	1.0	0.0	45.2	0.06057828	0.15169972	0.8669685	-0.014184952	34500	-0.3078695	0.0061691497	-0.0031325817	-0.0010777581	1.5393474	0.015433948	0.146	1.0	49.29186677932739
69	0.9090909	0.27272728	1.0	0.09090909	45.2	0.05889714	0.1954621	1.067303	0.00743936	35000	-0.30744606	0.0022963518	0.00033566356	-8.108746e-05	1.5372303	0.016261263	0.38	3.0	49.86885666847229
70	0.9090909	0.27272728	1.0	0.09090909	45.2	0.054823905	0.17241643	1.0199292	-0.012519404	35500	-0.3060648	0.0033556682	-0.0013485849	-0.00039168657	1.530324	0.0028602688	0.192	15.0	50.44217395782471
71	0.8454546	0.32537326	1.0	0.0	50.0	0.17099187	0.30177817	1.1019399	-0.028238207	36000	-0.27560925	0.0047458163	0.022118747	-0.0018038487	1.3780463	0.042964466	0.482	1.0	50.976195096969604
72	0.77272725	0.3936479	1.0	0.09090909	38.0	0.056675516	0.18394297	0.9887456	-0.015564024	36500	-0.29901436	0.0056819357	-0.0019789636	7.236283e-05	1.4950718	0.0194625	0.948	2.0	51.477694034576416
73	0.9090909	0.27272725	1.0	0.09090909	45.2	0.04286033	0.17093368	0.95159286	-0.023897953	37000	-0.29878482	0.0028291713	-0.0010652542	-0.0003275834	1.493924	0.035658795	0.76	1.0	52.02367663383484
