Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
64	0.31234568	0.2989425	1.0	0.0	2.3148148	0.29547572	0.22883528	1.055086	-0.040348463	32500	-0.16441156	0.03163156	-0.005390361	-0.0014982093	0.82205766	0.0060027703	0.026	15.0	416.9503378868103
65	0.30175442	0.2995249	1.0	0.0	2.38756	0.2599046	0.25513345	1.17193	-0.19141066	33000	-0.17134903	0.036213037	0.0166516	-0.00074975565	0.8567452	0.009754326	0.522	15.0	423.96212553977966
66	0.32584432	0.30069298	1.0	0.0	2.198238	0.28572613	0.2260072	0.8972269	-0.04783436	33500	-0.15385969	0.04657803	-0.006787434	-0.0033573695	0.7692984	0.007736045	0.084	15.0	431.42614579200745
67	0.3146847	0.30419338	1.0	0.0	2.7027028	0.3233337	0.22526547	1.057428	-0.10370383	34000	-0.15840702	0.049073894	-0.0038757473	-0.0055781715	0.7920353	0.008097831	0.234	15.0	437.80714869499207
68	0.32471824	0.30845937	1.0	0.0	2.410628	0.29353347	0.2276719	0.99758404	-0.03904202	34500	-0.15152925	0.07374728	0.007797569	-0.008028097	0.75764614	0.030963082	0.452	3.0	445.0006489753723
69	0.32402912	0.3090482	1.0	0.0	2.4174757	0.29962316	0.20210043	0.90444183	0.00786002	35000	-0.15995328	0.049910646	0.013520628	-0.0013527907	0.7997663	0.022174168	0.414	2.0	451.93005752563477
70	0.31088436	0.3073698	1.0	0.0	2.5459185	0.2695701	0.22874935	1.0396472	-0.055723257	35500	-0.16906677	0.07385884	-0.0014093816	-0.0030973256	0.84533393	0.008360031	0.3	15.0	458.8370912075043
71	0.3380829	0.30682445	1.0	0.0	2.5854921	0.2909477	0.18365154	0.8347074	-0.067641504	36000	-0.1597535	0.0722283	-0.00019194186	-0.001832284	0.79876745	0.015847065	0.23	11.0	465.460782289505
72	0.29710147	0.30204225	1.0	0.0	2.7173913	0.3446601	0.20974533	0.95138305	0.030196138	36500	-0.15988658	0.04798648	0.0045448393	-0.0042813905	0.79943305	0.029077813	0.336	1.0	471.50984477996826
73	0.32151166	0.31922027	1.0	0.0	2.9011629	0.20314628	0.20751803	0.8520293	-0.17308334	37000	-0.15448919	0.07977146	-0.006840542	-0.006191276	0.772446	0.018028539	0.284	8.0	477.9374339580536
74	0.29722223	0.31379053	1.0	0.0	2.7777777	0.2820193	0.17025639	0.8815336	0.0381667	37500	-0.16362768	0.072087295	0.0014571697	-0.0018465295	0.81813824	0.005067542	0.33	15.0	484.45014333724976
75	0.33869734	0.31333694	1.0	0.0	2.7816093	0.31897837	0.19909802	0.90851253	-0.026101775	38000	-0.16012938	0.07076656	0.012842625	-0.0032548755	0.80064696	0.015592634	0.31	1.0	490.22838258743286
